timestamp,ride_id,vehicle_type,scheduled_pickup_time,auction_start_time,auction_amount,auction_currency,pickup_location,dropoff_location,distance,duration,meet_and_greet,has_driver_instruction,is_available,can_accept,meets_criteria,rejection_reason
2025-05-24 13:29:14,4755059,Comfort Sedan,2025-05-24 14:45,2025-05-24 00:00,75.00,MYR,Kuala Lumpur International Airport,PARKROYAL Serviced Suites Kuala Lumpur,73668,4191,True,True,True,True,False,Does not meet acceptance criteria
2025-05-24 13:29:14,4733593,Sedan,2025-05-25 17:15,2025-05-24 00:00,60.00,MYR,Kuala Lumpur International Airport KUL,HSK HOTEL KUALA LUMPUR,70764,3747,True,False,True,True,False,Does not meet acceptance criteria
2025-05-24 13:29:15,4789612,MPV-4,2025-05-28 23:25,2025-05-24 00:00,60.00,MYR,"Sultan Abdul Aziz Shah International Airport (SZB), M17, Skypark Subang Terminal, Lpg Trbg Sultan Abdul Aziz Shah, 47200 Subang,","Top Hat Restaurant, 7, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, ماليزيا",25500,1433,True,False,True,True,False,Does not meet acceptance criteria
2025-05-24 13:29:15,4789469,Sedan,2025-06-24 12:05,2025-05-24 00:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Cleanpro Ibu Sayang Self Service Laundry - KL Journal Hotel, 30 Jalan Beremi, Off, Jln Sultan Ismail, Bukit Bintang, 50200 Kuala",64261,3186,True,False,True,True,False,Does not meet acceptance criteria
2025-05-24 13:29:16,N/A,Sedan,2025-06-24 12:30 PM,N/A,0.00,N/A,"Kuala Lumpur Intl. Airport (KUL), MY, MY","Sofitel Kuala Lumpur Damansara, Jalan Damanlela, Bukit Damansara, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia, MY",N/A,N/A,False,False,True,True,False,Does not meet acceptance criteria
2025-05-24 13:32:56,4755059,Comfort Sedan,2025-05-24 14:45,2025-05-24 00:00,75.00,MYR,Kuala Lumpur International Airport,PARKROYAL Serviced Suites Kuala Lumpur,73668,4191,True,True,True,True,False,Does not meet acceptance criteria
2025-05-24 13:32:56,4733593,Sedan,2025-05-25 17:15,2025-05-24 00:00,60.00,MYR,Kuala Lumpur International Airport KUL,HSK HOTEL KUALA LUMPUR,70764,3747,True,False,True,True,False,Does not meet acceptance criteria
2025-05-24 13:32:56,4789612,MPV-4,2025-05-28 23:25,2025-05-24 00:00,60.00,MYR,"Sultan Abdul Aziz Shah International Airport (SZB), M17, Skypark Subang Terminal, Lpg Trbg Sultan Abdul Aziz Shah, 47200 Subang,","Top Hat Restaurant, 7, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, ماليزيا",25500,1433,True,False,True,True,False,Does not meet acceptance criteria
2025-05-24 13:32:56,4789835,Sedan,2025-06-13 10:00,2025-05-24 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","DoubleTree by Hilton Putrajaya Lakeside, 2, Jalan P5/5, Presint 5, 62200 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",33742,2011,True,False,True,False,False,Cannot accept
2025-05-24 13:36:34,4755059,Comfort Sedan,2025-05-24 14:45,2025-05-24 00:00,75.00,MYR,Kuala Lumpur International Airport,PARKROYAL Serviced Suites Kuala Lumpur,73668,4191,True,True,True,True,False,Does not meet acceptance criteria
